Año,Departamento,Deforestación
1990-2000,AMAZONAS,2851
2000-2005,AMAZONAS,4571
2005-2010,AMAZONAS,4928
2010-2012,AMAZONAS,4190
2013,AMAZONAS,1042
2014,AMAZONAS,1723
2015,AMAZONAS,1277
2016,AMAZONAS,1913
1990-2000,ANTIOQUIA,14630
2000-2005,ANTIOQUIA,15971
2005-2010,ANTIOQUIA,32157
2010-2012,ANTIOQUIA,8773
2013,ANTIOQUIA,13736
2014,ANTIOQUIA,21032
2015,ANTIOQUIA,15888
2016,ANTIOQUIA,20494
1990-2000,ARAUCA,7612
2000-2005,ARAUCA,6277
2005-2010,ARAUCA,1981
2010-2012,ARAUCA,4707
2013,ARAUCA,3119
2014,ARAUCA,3913
2015,ARAUCA,2395
2016,ARAUCA,3907
1990-2000,ATLANTICO,1217
2000-2005,ATLANTICO,1044
2005-2010,ATLANTICO,518
2010-2012,ATLANTICO,31
2013,ATLANTICO,62
2014,ATLANTICO,55
2015,ATLANTICO,40
2016,ATLANTICO,72
1990-2000,BOGOTA DC,49
2000-2005,BOGOTA DC,59
2005-2010,BOGOTA DC,28
2010-2012,BOGOTA DC,11
2013,BOGOTA DC,1
2014,BOGOTA DC,0
2015,BOGOTA DC,2
2016,BOGOTA DC,1
1990-2000,BOLIVAR,9033
2000-2005,BOLIVAR,13457
2005-2010,BOLIVAR,11540
2010-2012,BOLIVAR,4530
2013,BOLIVAR,1803
2014,BOLIVAR,4860
2015,BOLIVAR,4566
2016,BOLIVAR,5557
1990-2000,BOYACA,4738
2000-2005,BOYACA,8432
2005-2010,BOYACA,5735
2010-2012,BOYACA,1846
2013,BOYACA,362
2014,BOYACA,511
2015,BOYACA,347
2016,BOYACA,704
1990-2000,CALDAS,447
2000-2005,CALDAS,2337
2005-2010,CALDAS,3704
2010-2012,CALDAS,484
2013,CALDAS,123
2014,CALDAS,874
2015,CALDAS,178
2016,CALDAS,472
1990-2000,CAQUETA,30607
2000-2005,CAQUETA,35707
2005-2010,CAQUETA,33391
2010-2012,CAQUETA,36098
2013,CAQUETA,29844
2014,CAQUETA,29245
2015,CAQUETA,23812
2016,CAQUETA,26544
1990-2000,CASANARE,5189
2000-2005,CASANARE,7111
2005-2010,CASANARE,5507
2010-2012,CASANARE,2662
2013,CASANARE,1807
2014,CASANARE,3450
2015,CASANARE,2939
2016,CASANARE,1759
1990-2000,CAUCA,15075
2000-2005,CAUCA,7040
2005-2010,CAUCA,10484
2010-2012,CAUCA,3058
2013,CAUCA,1470
2014,CAUCA,1707
2015,CAUCA,3031
2016,CAUCA,2889
1990-2000,CESAR,2362
2000-2005,CESAR,2826
2005-2010,CESAR,2724
2010-2012,CESAR,638
2013,CESAR,1110
2014,CESAR,786
2015,CESAR,448
2016,CESAR,1576
1990-2000,CHOCO,5684
2000-2005,CHOCO,11368
2005-2010,CHOCO,20971
2010-2012,CHOCO,3350
2013,CHOCO,2874
2014,CHOCO,10353
2015,CHOCO,5813
2016,CHOCO,24025
1990-2000,CORDOBA,4172
